"Project ID","Project name","Project url","Language ID","Language name","Approval progress","Translation progress","Words total","Words translated","Words approved","Phrases total","Phrases translated","Phrases approved"
771783,"Dodo app","https://crowdin.com/project/dodo-app","af","Afrikaans",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","ar","Arabic",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","ca","Catalan",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","cs","Czech",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","da","Danish",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","de","German",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","el","Greek",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","en","English",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","es-ES","Spanish",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","fi","Finnish",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","fr","French",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","he","Hebrew",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","hu","Hungarian",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","it","Italian",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","ja","Japanese",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","ko","Korean",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","nl","Dutch",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","no","Norwegian",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","pl","Polish",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","pt-BR","Portuguese, Brazilian",0,0,1,0,0,1,0,0
771783,"Dodo app","https://crowdin.com/project/dodo-app","pt-PT","Portuguese",0,0,1,0,0,1,0,0
